# ----------------------------------------
# jordanshaw.com
# Pages
# 20150501-20160503
# ----------------------------------------

Page,Page Views,Unique Page Views,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/project/nuit-blanche-psa,1,1,00:00:00,1,100.00%,100.00%,US$0.00
/project/pmp-my-wrk,1,1,00:00:00,1,100.00%,100.00%,US$0.00
/project/revlon-canada,1,1,00:00:00,1,100.00%,100.00%,US$0.00
/project/sdm,1,1,00:00:00,1,100.00%,100.00%,US$0.00
/project/shel-silverstine,1,1,00:00:00,1,100.00%,100.00%,US$0.00
/project/tassimo,1,1,00:00:00,1,100.00%,100.00%,US$0.00
/project/why-is-dancing-so-hard,1,1,00:00:00,1,100.00%,100.00%,US$0.00
/project/yurt.js,1,1,00:00:00,1,100.00%,100.00%,US$0.00
/projects/personal,1,1,00:00:00,1,100.00%,100.00%,US$0.00
/search?q=cache:http://www.jordanshaw.com/&gws_rd=cr&ei=_M3QVp_EOMO3eZ2HqPAP,1,1,00:00:00,1,100.00%,100.00%,US$0.00
/search?q=cache:http://www.jordanshaw.com/&gws_rd=cr&ei=3UrgVoniGYmf-gHT44X4CA,1,1,00:00:00,1,100.00%,100.00%,US$0.00
/site/theme_configs/1362495/custom_preview/shaw-jordan/2874277-refactored-canadiana-landscapes,1,1,00:00:04,0,0.00%,0.00%,US$0.00
/site/theme_configs/1369275/custom_preview/shaw-jordan,1,1,00:00:23,1,0.00%,0.00%,US$0.00
/translate_c?depth=1&hl=pt-BR&prev=search&rurl=translate.google.com.br&sl=en&u=http://www.jordanshaw.com/project/cumulus-arcus-mixus&usg=ALkJrhjVU_8LNhy81s2RLkaPene2Eub7aA,1,1,00:00:00,1,100.00%,100.00%,US$0.00
thesis.jordanshaw.com/post/143594717518/starting-down-the-path-of-my-thesis-with-my-first,1,1,00:00:00,0,0.00%,100.00%,US$0.00
,"1,855","1,534",00:01:44,"1,242",57.27%,66.95%,US$0.00

Day Index,Page Views
01/05/2015,20
02/05/2015,3
03/05/2015,3
04/05/2015,6
05/05/2015,8
06/05/2015,40
07/05/2015,5
08/05/2015,6
09/05/2015,1
10/05/2015,2
11/05/2015,2
12/05/2015,2
13/05/2015,4
14/05/2015,9
15/05/2015,4
16/05/2015,2
17/05/2015,0
18/05/2015,3
19/05/2015,8
20/05/2015,52
21/05/2015,26
22/05/2015,1
23/05/2015,2
24/05/2015,25
25/05/2015,2
26/05/2015,3
27/05/2015,4
28/05/2015,2
29/05/2015,1
30/05/2015,15
31/05/2015,1
01/06/2015,30
02/06/2015,1
03/06/2015,1
04/06/2015,26
05/06/2015,28
06/06/2015,1
07/06/2015,2
08/06/2015,26
09/06/2015,6
10/06/2015,4
11/06/2015,0
12/06/2015,30
13/06/2015,1
14/06/2015,1
15/06/2015,21
16/06/2015,5
17/06/2015,1
18/06/2015,3
19/06/2015,2
20/06/2015,1
21/06/2015,2
22/06/2015,2
23/06/2015,4
24/06/2015,2
25/06/2015,1
26/06/2015,1
27/06/2015,0
28/06/2015,0
29/06/2015,2
30/06/2015,2
01/07/2015,1
02/07/2015,15
03/07/2015,5
04/07/2015,0
05/07/2015,1
06/07/2015,1
07/07/2015,1
08/07/2015,2
09/07/2015,3
10/07/2015,2
11/07/2015,3
12/07/2015,3
13/07/2015,1
14/07/2015,3
15/07/2015,1
16/07/2015,7
17/07/2015,4
18/07/2015,2
19/07/2015,0
20/07/2015,6
21/07/2015,7
22/07/2015,0
23/07/2015,0
24/07/2015,1
25/07/2015,2
26/07/2015,0
27/07/2015,2
28/07/2015,2
29/07/2015,2
30/07/2015,1
31/07/2015,0
01/08/2015,3
02/08/2015,2
03/08/2015,1
04/08/2015,1
05/08/2015,1
06/08/2015,3
07/08/2015,2
08/08/2015,2
09/08/2015,1
10/08/2015,2
11/08/2015,3
12/08/2015,1
13/08/2015,2
14/08/2015,1
15/08/2015,0
16/08/2015,0
17/08/2015,3
18/08/2015,6
19/08/2015,0
20/08/2015,1
21/08/2015,4
22/08/2015,0
23/08/2015,1
24/08/2015,2
25/08/2015,2
26/08/2015,0
27/08/2015,2
28/08/2015,1
29/08/2015,2
30/08/2015,0
31/08/2015,4
01/09/2015,1
02/09/2015,2
03/09/2015,0
04/09/2015,1
05/09/2015,2
06/09/2015,0
07/09/2015,0
08/09/2015,0
09/09/2015,2
10/09/2015,1
11/09/2015,2
12/09/2015,0
13/09/2015,3
14/09/2015,0
15/09/2015,1
16/09/2015,1
17/09/2015,0
18/09/2015,0
19/09/2015,0
20/09/2015,3
21/09/2015,2
22/09/2015,1
23/09/2015,0
24/09/2015,1
25/09/2015,0
26/09/2015,2
27/09/2015,0
28/09/2015,0
29/09/2015,1
30/09/2015,3
01/10/2015,0
02/10/2015,0
03/10/2015,0
04/10/2015,1
05/10/2015,2
06/10/2015,3
07/10/2015,2
08/10/2015,1
09/10/2015,3
10/10/2015,2
11/10/2015,0
12/10/2015,1
13/10/2015,2
14/10/2015,3
15/10/2015,1
16/10/2015,1
17/10/2015,0
18/10/2015,1
19/10/2015,1
20/10/2015,1
21/10/2015,2
22/10/2015,2
23/10/2015,2
24/10/2015,1
25/10/2015,0
26/10/2015,1
27/10/2015,1
28/10/2015,1
29/10/2015,1
30/10/2015,1
31/10/2015,1
01/11/2015,0
02/11/2015,0
03/11/2015,1
04/11/2015,1
05/11/2015,7
06/11/2015,3
07/11/2015,0
08/11/2015,0
09/11/2015,0
10/11/2015,1
11/11/2015,4
12/11/2015,8
13/11/2015,5
14/11/2015,4
15/11/2015,4
16/11/2015,9
17/11/2015,4
18/11/2015,6
19/11/2015,9
20/11/2015,3
21/11/2015,2
22/11/2015,2
23/11/2015,2
24/11/2015,6
25/11/2015,40
26/11/2015,4
27/11/2015,2
28/11/2015,6
29/11/2015,5
30/11/2015,4
01/12/2015,0
02/12/2015,1
03/12/2015,2
04/12/2015,0
05/12/2015,0
06/12/2015,0
07/12/2015,4
08/12/2015,2
09/12/2015,1
10/12/2015,2
11/12/2015,0
12/12/2015,2
13/12/2015,0
14/12/2015,3
15/12/2015,4
16/12/2015,3
17/12/2015,4
18/12/2015,3
19/12/2015,1
20/12/2015,1
21/12/2015,1
22/12/2015,4
23/12/2015,3
24/12/2015,3
25/12/2015,2
26/12/2015,5
27/12/2015,3
28/12/2015,4
29/12/2015,3
30/12/2015,2
31/12/2015,1
01/01/2016,3
02/01/2016,1
03/01/2016,1
04/01/2016,4
05/01/2016,140
06/01/2016,5
07/01/2016,2
08/01/2016,6
09/01/2016,1
10/01/2016,23
11/01/2016,86
12/01/2016,89
13/01/2016,33
14/01/2016,10
15/01/2016,0
16/01/2016,2
17/01/2016,0
18/01/2016,1
19/01/2016,1
20/01/2016,20
21/01/2016,6
22/01/2016,3
23/01/2016,26
24/01/2016,1
25/01/2016,32
26/01/2016,0
27/01/2016,21
28/01/2016,2
29/01/2016,0
30/01/2016,0
31/01/2016,0
01/02/2016,14
02/02/2016,0
03/02/2016,0
04/02/2016,2
05/02/2016,1
06/02/2016,0
07/02/2016,2
08/02/2016,2
09/02/2016,3
10/02/2016,0
11/02/2016,0
12/02/2016,4
13/02/2016,0
14/02/2016,3
15/02/2016,0
16/02/2016,2
17/02/2016,2
18/02/2016,21
19/02/2016,3
20/02/2016,1
21/02/2016,4
22/02/2016,48
23/02/2016,0
24/02/2016,36
25/02/2016,0
26/02/2016,16
27/02/2016,6
28/02/2016,8
29/02/2016,3
01/03/2016,0
02/03/2016,3
03/03/2016,3
04/03/2016,0
05/03/2016,2
06/03/2016,1
07/03/2016,1
08/03/2016,2
09/03/2016,10
10/03/2016,0
11/03/2016,3
12/03/2016,1
13/03/2016,0
14/03/2016,4
15/03/2016,8
16/03/2016,5
17/03/2016,10
18/03/2016,9
19/03/2016,2
20/03/2016,10
21/03/2016,1
22/03/2016,2
23/03/2016,21
24/03/2016,5
25/03/2016,1
26/03/2016,0
27/03/2016,2
28/03/2016,0
29/03/2016,1
30/03/2016,1
31/03/2016,21
01/04/2016,2
02/04/2016,2
03/04/2016,2
04/04/2016,1
05/04/2016,5
06/04/2016,6
07/04/2016,1
08/04/2016,3
09/04/2016,2
10/04/2016,18
11/04/2016,7
12/04/2016,0
13/04/2016,1
14/04/2016,2
15/04/2016,2
16/04/2016,2
17/04/2016,2
18/04/2016,2
19/04/2016,5
20/04/2016,6
21/04/2016,2
22/04/2016,7
23/04/2016,2
24/04/2016,2
25/04/2016,33
26/04/2016,6
27/04/2016,5
28/04/2016,3
29/04/2016,2
30/04/2016,1
01/05/2016,4
02/05/2016,14
03/05/2016,2
,"1,855"
